team,Qualify,Win Group,Reach R32,Reach R16,Reach QF,Reach SF,Reach Final,Champion
Algeria,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Argentina,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.575500,0.277200
Australia,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Austria,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Belgium,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Bosnia and Herzegovina,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Brazil,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
Cape Verde,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Canada,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
Colombia,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
DR Congo,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Ivory Coast,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Croatia,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Curacao,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Czechia,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Ecuador,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Egypt,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
England,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.424500,0.173900
France,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
Germany,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Ghana,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Haiti,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Iran,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Iraq,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Japan,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Jordan,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
South Korea,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Mexico,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
Morocco,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Netherlands,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
New Zealand,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Norway,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Panama,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Paraguay,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
Portugal,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
Qatar,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Saudi Arabia,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Scotland,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Senegal,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
South Africa,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Spain,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.548900
Sweden,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Switzerland,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Tunisia,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Turkey,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Uruguay,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
USA,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
Uzbekistan,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
